2015/0/1,2015/0/15,35_1,
2015/0/1,2015/0/16,27_0,
2015/0/1,2015/0/16,30_1,
2015/0/1,2015/0/17,31_1,
2015/0/1,2015/0/17,67_0,
2015/0/1,2015/0/24,31_0,
2015/0/1,2015/0/25,33_1,
2015/0/1,2015/0/26,67_0,
2015/0/1,2015/0/29,33_1,
2015/0/1,2015/0/5,34_1,
2015/0/1,2015/0/6,66_0,
2015/0/1,2015/0/8,25_0,
2015/0/1,2015/0/8,29_1,
2015/0/1,2015/0/8,32_1,
2015/0/10,2015/0/24,21_0,
2015/0/11,2015/0/26,16_1,
2015/0/12,2015/0/25,4_1,
2015/0/13,2015/0/14,32_1,
2015/0/13,2015/0/14,62_0,
2015/0/13,2015/0/19,34_1,
2015/0/14,2015/0/19,54_0,
2015/0/14,2015/0/22,13_0,
2015/0/14,2015/0/28,25_1,
2015/0/15,2015/0/18,4_0,
2015/0/15,2015/0/29,13_1,
2015/0/15,2015/0/29,50_0,
2015/0/16,2015/0/24,34_0,
2015/0/16,2015/0/28,39_0,
2015/0/17,2015/0/23,60_0,
2015/0/17,2015/0/24,34_1,
2015/0/18,2015/0/18,16_0,
2015/0/18,2015/0/23,20_1,
2015/0/19,2015/0/25,17_1,
2015/0/19,2015/0/29,17_1,
2015/0/2,2015/0/12,23_1,
2015/0/2,2015/0/18,11_0,
2015/0/20,2015/0/21,37_0,
2015/0/20,2015/0/27,3_1,
2015/0/20,2015/0/29,33_0,
2015/0/20,2015/0/29,36_0,
2015/0/21,2015/0/24,28_0,
2015/0/21,2015/0/24,62_0,
2015/0/21,2015/0/24,63_0,
2015/0/22,2015/0/24,28_1,
2015/0/22,2015/0/26,56_0,
2015/0/22,2015/0/27,11_0,
2015/0/22,2015/0/28,23_0,
2015/0/23,2015/0/23,15_1,
2015/0/23,2015/0/26,3_0,
2015/0/24,2015/0/25,6_1,
2015/0/24,2015/0/29,5_1,
2015/0/25,2015/0/26,64_0,
2015/0/25,2015/0/27,29_0,
2015/0/25,2015/0/28,60_0,
2015/0/26,2015/0/26,18_0,
2015/0/26,2015/0/28,19_1,
2015/0/26,2015/0/28,23_1,
2015/0/26,2015/0/28,52_0,
2015/0/26,2015/0/29,57_0,
2015/0/27,2015/0/29,12_1,
2015/0/27,2015/0/29,13_1,
2015/0/27,2015/0/29,40_0,
2015/0/27,2015/0/29,45_0,
2015/0/28,2015/0/28,38_0,
2015/0/28,2015/0/29,2_1,
2015/0/28,2015/0/29,32_0,
2015/0/28,2015/0/29,34_0,
2015/0/28,2015/0/29,41_1,
2015/0/3,2015/0/18,6_0,
2015/0/4,2015/0/22,36_0,
2015/0/6,2015/0/26,26_1,
2015/0/7,2015/0/17,10_1,
2015/0/7,2015/0/24,7_0,
2015/0/7,2015/0/29,46_0,
2015/0/8,2015/0/17,35_0,
2015/0/8,2015/0/21,36_0,
2015/0/9,2015/0/22,35_1,
2015/1/1,2015/1/10,38_1,
2015/1/1,2015/1/12,37_1,
2015/1/1,2015/1/14,32_0,
2015/1/1,2015/1/14,36_1,
2015/1/1,2015/1/17,41_1,
2015/1/1,2015/1/23,39_1,
2015/1/1,2015/1/5,40_1,
